순위			빈도수			단어
1			11			온실가스
2			10			관한
3			9			미세먼지
4			9			자동차
5			7			저감
6			7			평가
7			7			전과정
8			6			개정을
9			4			기간
10			4			환경부장관이
11			4			유해성
12			4			근거를
13			4			기대효과
14			4			공포
15			4			사용료
16			3			환경부
17			3			관리에
18			3			등록
19			3			절약과
20			3			배출
21			3			계절관리제
22			3			저감조치
23			3			따라
24			3			되었다
25			3			발생하는
26			3			경우
27			3			기대
28			3			근거
29			3			마련ㅇ
30			2			국회
31			2			특별법
32			2			재활용촉진에
33			2			초미세먼지
34			2			대해
35			2			지역별
36			2			실질적인
37			2			효과를
38			2			일부
39			2			자발적
40			2			고려하여
41			2			필요
42			2			시
43			2			지역
44			2			특성에
45			2			있게
46			2			정의
47			2			신설하고
48			2			했으며
49			2			근거가
50			2			제작의
51			2			배출량을
52			2			배출량
53			2			규정
54			2			대한
55			2			국제적인
56			2			평가의
57			2			현행
58			2			고시에
59			2			정부
60			2			도모할
61			2			대상
62			2			소속기관의
63			2			시도지사에게
64			2			위임한
65			2			일부를
66			2			관계
67			2			전문기관에
68			2			위탁할
69			2			국회통과
70			2			법률안
71			2			주요내용
72			2			장
73			2			번법안명
74			2			주요
75			2			개정내용
76			2			시행일담당자
77			2			과장
78			2			하고
79			2			서기관
80			2			법률ㅇ
81			2			징수
82			2			이행과
83			1			보도참고자료
84			1			보도시점
85			1			미세먼지법
86			1			환경법안
87			1			통과
88			1			국민이
89			1			안심할
90			1			깨끗하고
91			1			안전한
92			1			환경조성에
93			1			기여
94			1			한화진
95			1			보전법
96			1			환경법안이
97			1			본회의를
98			1			통과했다고
99			1			밝혔다
100			1			배출저감
101			1			관리를
102			1			위해
103			1			월평균
104			1			농도가
105			1			심화되는
106			1			그해
107			1			이듬해
108			1			중앙행정기관과
109			1			지자체
110			1			공공기관
111			1			등이
112			1			운영하는
113			1			공공배출시설에
114			1			저감조치를
115			1			시행하는
116			1			계절
117			1			관리제
118			1			적용해
119			1			전후로도
120			1			농도의
121			1			차이가
122			1			발생하고
123			1			민간배출시설의
124			1			의무적으로
125			1			적용되지
126			1			않는
127			1			기대하기에
128			1			미흡한
129			1			측면이
130			1			있었다
131			1			석유화학
132			1			대형사업장과
133			1			사업장이
134			1			협약을
135			1			통
136			1			해
137			1			고농도
138			1			저감대책에
139			1			참여
